City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tofol,5.3248,163.0078,27.63,75,34,2.29,FM,1691254121
83,tambopata,-12.7333,-69.1833,31.94,58,40,1.03,PE,1691254122
84,okha,53.5739,142.9478,10.92,85,12,2.26,RU,1691254122
85,nar'yan-mar,67.6713,53.087,21.91,72,89,3.6,RU,1691254122
86,rongelap,11.1635,166.8941,28.25,79,100,6.88,MH,1691254122
87,kodiak,57.79,-152.4072,10.73,87,100,1.54,US,1691254122
88,tiksi,71.6872,128.8694,2.1,83,100,3.91,RU,1691254122
89,guaruja,-23.9931,-46.2564,25.92,65,0,2.57,BR,1691254122
90,baykal'sk,51.5058,104.1469,14.58,96,100,1.08,RU,1691254122
91,hell-ville,-13.4,48.2667,25.97,72,10,3.85,MG,1691254122
92,port elizabeth,-33.918,25.5701,20.61,82,0,0.0,ZA,1691254122
93,newman,37.3138,-121.0208,26.8,27,0,1.84,US,1691254122
94,shangqiu,34.45,115.65,26.02,98,94,3.78,CN,1691254122
95,dudinka,69.4058,86.1778,17.57,57,3,3.38,RU,1691254123
96,olonkinbyen,70.9221,-8.7187,3.48,93,100,10.4,SJ,1691254123
97,bredasdorp,-34.5322,20.0403,10.53,91,84,1.84,ZA,1691254123
98,mount pearl,47.5166,-52.7813,19.07,73,75,4.63,CA,1691254123
99,flin flon,54.7682,-101.865,20.91,60,75,4.12,CA,1691254123
100,kunyang,27.6658,120.5658,26.07,89,48,0.93,CN,1691254123
101,richards bay,-28.783,32.0377,19.36,73,79,5.16,ZA,1691254123
102,coquimbo,-29.9533,-71.3436,15.85,77,100,2.06,CL,1691254042
103,kalat,29.0225,66.5916,26.97,13,20,2.08,PK,1691253855
104,constantia,44.1833,28.65,27.61,75,0,5.26,RO,1691254123
105,ushuaia,-54.8,-68.3,3.81,81,75,3.09,AR,1691253842
106,al ghayzah,16.2079,52.176,26.76,80,64,4.85,YE,1691254123
107,paka,4.6374,103.4368,25.96,100,3,0.0,MY,1691254123
108,ban talat yai,7.8848,98.4001,26.08,79,47,3.17,TH,1691254124
109,araure,9.5601,-69.2148,28.82,74,28,2.16,VE,1691254124
110,gejiu,23.306,103.1635,15.56,98,100,1.21,CN,1691254124
111,kristiansund,63.1115,7.732,15.03,58,100,3.6,NO,1691254124
112,kokopo,-4.352,152.2633,25.1,75,98,8.13,PG,1691254125
113,gadzhiyevo,69.2551,33.3362,10.93,93,100,6.98,RU,1691254125
114,ribeira grande,38.5167,-28.7,25.43,69,20,5.14,PT,1691254125
115,ancud,-41.8697,-73.8203,8.92,68,34,1.01,CL,1691253996
116,yellowknife,62.456,-114.3525,19.29,48,20,3.6,CA,1691254125
117,floro,61.5996,5.0328,16.04,63,20,6.69,NO,1691254125
118,kyshtovka,56.555,76.6271,21.44,50,97,5.49,RU,1691254125
119,la passe,45.5549,-0.8967,19.13,70,85,9.16,FR,1691254125
120,egilsstadir,65.2653,-14.3948,13.95,47,20,7.72,IS,1691254125
